Topic,Qualification
Full Stack Developer,"1. Full Stack Development
2. Node.js, Java, React
3. User Experience Design
4. Balancing urgency and quality
5. Front-end technology: React, Node.js, SAS, HTML
6. Scalable distributed system
7. Java, Node.js, Engineer
8. AWS: Lambda, API Gateway, Kinesis, DynamoDB
9. Understanding web application development
10. Distributed system development
11. Passion for learning, mentoring
12. Proficient in latest front-end tech
13. Building rich user experiences
14. Experience with front-end data storage
15. Familiarity with various technologies (e.g., SAS, AWS, Kubernetes)
16. Strong problem-solving skills
17. Ability to work in a distributed team
18. Strong communication skills
19. Experience with mission-critical services
20. Strong understanding of back-end technologies
21. Ability to deploy multiple system processes."
Full Stack Developer,"1. Full Stack Developer
2. 3+ years experience Power BI, SQL, accessing data
3. 2+ years consulting experience, preferably in a big firm
4. Business Intelligence Development
5. Client value, high client satisfaction
6. KPI tracking, performance evaluation
7. Data modeling, business analysis
8. Flexible, fast-paced environment
9. Strong organizational skills
10. Excellent verbal and written communication
11. Self-motivated, high-energy, can-do attitude

Essential skills for a Full Stack Developer:
1. Power BI, SQL, data access
2. Consulting experience, preferably in a big firm
3. Business Intelligence Development
4. KPI tracking, performance evaluation
5. Data modeling
6. Self-motivated, fast-paced environment
7. Excellent communication skills."
Wordpress Developer,"* Wordpress: 1 year (preferred)
* HTML: 1 year (preferred)
* CSS: 1 year (preferred)
* JavaScript: 1 year (preferred)
* JQuery: 1 year (preferred)
* Bootstrap: 1 year (preferred)
* HTML5: 1 year (preferred)
* CSS3: 1 year (preferred)
* Photoshop: Working knowledge
* Illustrator: Working knowledge
* SEO: Ability to optimize
* SEM: Ability to manage
* Social Media Marketing: Ability to handle
* Analytics tools: Familiarity
* Responsive Design: Familiarity
* Design: World-class UI/UX
* Coordination: With content writers and graphic artists
* Work from home: Availability

The following information has been removed:

* Roles and Responsibilities: This section contains non-essential information regarding the job's description.
* Pay: This section mentions the salary range which is not crucial for determining essential skills.
* Benefits: This section mentions the benefits which is not essential for determining skills.
* Experience: This section includes the total work experience which is not directly related to the required skills.
* Education: This section mentions the preferred Bachelor's degree which is not crucial for determining essential skills.
* Application Deadline, Expected Start Date, Job Types, and Schedule: This information is not essential for determining skills but rather for the applicant's understanding of the job.
* Employer contact information: This information is not necessary for the model as it is for the applicant to interact with the employer."
Network Administrator,"1. Network administration
2. Linux administration
3. CCNA Certification
4. Network trouble shooting
5. End user support (active devices)
6. End user support (passive devices)
7. Network security
8. Wireless device management
9. IP management
10. Call logging activities
11. Backups
12. Disaster management
13. Linux Server administration
14. Redhat Certification
15. Data center operations
16. Server health monitoring
17. New server installation
18. OS & kernel patch management
19. User management
20. Antivirus server management
21. Server hardening
22. Scheduling and managing batch jobs
23. User access rights
24. Storage and disk space monitoring
25. Server fault troubleshooting (L1 support)
26. Mail server administration (Exchange)
27. Regular housekeeping jobs

This list includes essential skills required for both Network Administrator and Linux Administrator roles, such as network and server administration, security management, and troubleshooting. The list does not contain any non-essential information, marketing language, or generic soft skills."
Software Engineer,"* Java 8 or higher
* Spring Framework-Core/Boot/MVC
* Hibernate/JPA
* JavaScript
* Microservices Architecture
* SOA based architecture
* Web Services (Apache/CXF/JAXWS/JAXRS/SOAP/REST)
* CI/CD DevOps - Jenkins/Docker/Ansible, Cloud - AWS
* RDBMS: SQL Server, Oracle, MySQL, PostgreSQL
* UML
* Agile software development cycle practices: coding standards, code reviews, source control management, build processes, testing, deployment
* Design patterns
* Effective communication with users, technical teams, and management
* Understanding functional requirements and analyzing client needs
* Determining and implementing design methodologies and tool sets
* Writing and reviewing quality code
* Creating and validating WBS and estimated effort
* Troubleshooting and resolving complex bugs
* Constructive feedback and clear expectations
* POCs for suggested design/technologies."
PHP Developer,"* PHP, MVC, SQL, AWS, API, REST, GitHub, Unit testing, Database management, PHP development (2 years exp.), Core PHP (preferred), Bachelor's degree.

Keywords: PHP, MVC, SQL, AWS, API, REST, GitHub, Unit testing, Database, 2 years PHP development, Core PHP, Bachelor's."
iOS Developer,"* iOS frameworks: Core Data, Core Animation
* Objective-C, Swift
* iPhone/iPad Apple SDK
* App development: start to finish
* Code versioning tools
* 1-3 years experience

Essential skills for an iOS Developer:
1. iOS frameworks: Core Data, Core Animation
2. Programming languages: Objective-C, Swift
3. App development: from start to finish
4. Code versioning tools
5. Experience: 1-3 years."
Java Developer,"* Java, J2EE, Core Java, JSP, Servlets, Struts, Webservices, Spring, Hibernate, JavaScript, jQuery, AJAX
* Oracle
* OOA/OOD, J2EE framework, data architectures
* Design patterns
* Tomcat, Jboss
* Scalability engineering
* Hadoop, Analytics, Big Data (optional)
* EE 6+ standard APIs (EJB, JSF, JPA, JAX-RS, Struts)
* Maven, Grunt, git
* XML/XSL, JavaScript/AJAX, Soap
* Relational database concepts, SQL
* Eclipse
* OO design, UML."
Network Administrator,"1. MIS (Management Information System)
2. Data management
3. System networking
4. Queries resolving
5. Application maintenance
6. SQL data maintenance
7. Hardware maintenance
8. Full-time
9. ₹25,000.00 - ₹35,000.00 monthly salary
10. Day shift
11. Overtime pay
12. 1 year experience (preferred)
13. 1 year total work experience (preferred)
14. 1 year Network Administration experience (preferred)
15. Secondary education (10th Pass) (preferred)
16. Medical Technician industry
17. No work remotely

Essential skills for a Network Administrator role:

1. MIS, data management
2. System networking
3. Queries resolution
4. Application maintenance
5. SQL data maintenance
6. Hardware maintenance
7. Full-time commitment
8. Proficient in overtime pay
9. A year of experience in Network Administration
10. A secondary education degree (10th Pass) is preferred."
Full Stack Developer,"1. Full Stack Development
2. Code production
3. Cloud environment deployment
4. Mobile app development
5. Working in a development team
6. Follows project architecture
7. Utilizes tech stack: Chaione, Docker, Ember CLI, AWS, Heroku, Azure, Analytics (Flurry, Amazon Mobile, Google, Apple App), Sentry.io, Continuous Integration
8. Familiarity with: Push notifications, configuring push services, Bitbucket, Jira, Swagger / OpenAPI Specification, OAS, Good written & verbal communication
9. Development tools: React.js, Flux, Redux, NPM, Yarn, Handlebar, Angular.js, Predix certification
10. Experience with: Git, JIRA, Swagger / OpenAPI Specification, OAS
11. 1-5 years development experience
12. Flexible work environment
13. Strong problem-solving skills."
Software Engineer,"* Performance testing of web-based/client-server applications and backend
* Create and conduct SPLI quality assurance reviews, develop test plans
* Liaison between SPLI team and application development teams
* Handle multiple projects simultaneously, prioritize tasks
* Performance testing with LoadRunner, VuGen scripting
* DevOps: Maven, GitHub, Udeploy, Artifactory, Sonar, Jenkins
* Agile development life cycle
* Cloud-based performance testing
* Deep knowledge: Heap Memory, Garbage collection
* Troubleshooting and resolving Performance Engineering issues

Essential Qualifications:

* B.S. in Engineering or equivalent
* 6-8 years experience in Performance testing with LoadRunner
* Scripting using VuGen
* DevOps: Maven, GitHub, Udeploy, Artifactory, Sonar, Jenkins
* Agile development life cycle
* Performance testing
* Heap Memory, Garbage collection knowledge."
JavaScript Developer,"1. JavaScript proficiency
2. Asynchronous request handling, partial page updates, AJAX
3. HTML, CSS
4. CSS preprocessors: Sass, LESS
5. JavaScript frameworks: Ember, AngularJS, React
6. JavaScript build tools: Grunt, Gulp, Bower
7. Front-end technologies: HTML5, CSS3
8. Fundamental design principles
9. Mobile vs. desktop optimization
10. Database schema creation."
JavaScript Developer,"- JavaScript, TypeScript
- VMware products: vRealize Automation/Orchestrator/Operations, NSX, vCloud Director, vSphere, SaaS
- Software design
- OOP
- SOAP and REST Services
- Databases
- Data structures and algorithms
- Experience as Software Developer
- Modern software development methodologies
- Customer facing roles
- Scripting: PowerShell, Bash
- Infrastructure: DNS, AD, OSI Layers
- Excellent English
- Bachelor's Degree in Computer Science or equivalent

Preferred:
- Virtual IT production data center and Internet hosting operations understanding
- VMware products understanding
- Atlassian stack understanding
- OpenStack understanding
- Hyper-Scaler services (Google Cloud, AWS, Azure) understanding
- Infrastructure related software understanding: ServiceNow, IPAM, HPSM, CISCO, F5
- Ability to travel globally

Skills:
- Programming languages: Java, C#, JavaScript, TypeScript, PowerShell, Bash
- Software design
- Database knowledge
- SOAP and REST Services
- Scripting
- Infrastructure: DNS, AD, OSI Layers
- Data structures and algorithms
- Understanding of VMware products, Atlassian stack, OpenStack, ServiceNow, IPAM, HPSM, CISCO, F5
- Customer facing
- English language proficiency

Experience:
- Software development
- VMware products implementation
- Customer interaction

Qualifications:
- Bachelor's Degree in Computer Science or equivalent
- Proven experience in software development
- Expertise in JavaScript, TypeScript, and other programming languages mentioned
- Familiarity with VM"
